GeneName,EnsemblGeneId,GFP-,10e2 GFP+,log2(fold_change),p_value,q_value
"GTF3C1: general transcription factor IIIC, polypeptide 1, alpha 220kDa",ENSGALG00000007387,20.5973,43.6935,1.08496,6.36E-10,7.81E-08
GTPBP4: GTP binding protein 4,ENSGALG00000006703,75.6587,219.397,1.53597,0.00216024,0.0310237
"GUCY1A3: guanylate cyclase 1, soluble, alpha 3",ENSGALG00000009354,2.06173,7.95741,1.94844,0.000123912,0.00336247
"GUCY1B3: guanylate cyclase 1, soluble, beta 3",ENSGALG00000009361,2.54905,8.8552,1.79657,0.00308626,0.0392074
GXYLT1: glucoside xylosyltransferase 1,ENSGALG00000009532,9.77242,38.3216,1.97137,7.57E-09,7.49E-07
"HACE1: HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1 ",ENSGALG00000015415,10.0663,26.671,1.40573,9.66E-07,5.48E-05
HACL1: 2-hydroxyacyl-CoA lyase 1,ENSGALG00000011211,2.66075,11.2094,2.07481,0.00142126,0.0227645
HAS2: hyaluronan synthase 2,ENSGALG00000016394,15.3354,48.5556,1.66277,0.000790094,0.0145447
HAT1: histone acetyltransferase 1,ENSGALG00000009525,40.5593,91.5318,1.17424,1.07E-06,6.04E-05
"HAUS6: HAUS augmin-like complex, subunit 6",ENSGALG00000015091,17.8047,53.4539,1.58604,0.00264198,0.0354956
HCCS: holocytochrome c synthase,ENSGALG00000005571,11.9793,29.4354,1.29702,0.000111411,0.00307646
HCFC2: host cell factor C2,ENSGALG00000012718,9.32601,19.3053,1.04966,1.47E-06,7.94E-05
HDAC11: histone deacetylase 11,ENSGALG00000005092,2.57737,6.84637,1.40944,0.000566123,0.011292
HDAC2: histone deacetylase 2 ,ENSGALG00000014991,43.1934,133.051,1.62309,0.00244425,0.0336442
HECTD1: HECT domain containing E3 ubiquitin protein ligase 1,ENSGALG00000009946,31.6966,65.8468,1.05479,0,0
"HELLS: helicase, lymphoid-specific",ENSGALG00000005451,51.202,222.041,2.11655,5.45E-11,8.71E-09
"HELQ: helicase, POLQ-like",ENSGALG00000011208,3.07672,6.62147,1.10576,0.00112733,0.0193444
HEMK1: HemK methyltransferase family member 1 ,ENSGALG00000002253,8.72624,20.2426,1.21396,0.00380091,0.0450263
HERC4: HECT and RLD domain containing E3 ubiquitin protein ligase 4,ENSGALG00000003861,3.5522,13.6391,1.94097,0.00117165,0.019785
"HERPUD1: homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",ENSGALG00000001220,11.3854,24.3597,1.09731,0.00184703,0.0277732
HEXB: hexosaminidase B (beta polypeptide),ENSGALG00000014933,8.41697,44.78,2.41148,0.000486064,0.0100173
HIBADH: 3-hydroxyisobutyrate dehydrogenase,ENSGALG00000011100,5.36069,27.0686,2.33613,0.000315338,0.00717506
HisRS: histidyl-tRNA synthetase ,ENSGALG00000000794,34.9335,99.5684,1.51108,0.00143945,0.022977
HKDC1: hexokinase domain containing 1,ENSGALG00000021039,1.11793,6.42858,2.52367,0.000591318,0.0116596
HM14A: non-histone chromosomal protein HMG-14A,ENSGALG00000007131,43.3128,145.558,1.74872,0.000507,0.0103788
HMGB1: high mobility group box 1,ENSGALG00000017082,136.935,289.985,1.08248,0.000197588,0.00492116
HMGCS1: 3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble),ENSGALG00000014862,29.4775,96.7613,1.71482,4.01E-08,3.36E-06
Hmgn1: high mobility group nucleosomal binding domain 1,ENSGALG00000016067,20.0989,81.8962,2.02668,0.000146357,0.00387248
Hmgn3: high mobility group nucleosomal binding domain 3,ENSGALG00000015880,17.2373,52.3111,1.60158,9.55E-05,0.00271099
HNRNPA2B1: heterogeneous nuclear ribonucleoprotein A2/B1,ENSGALG00000011036,176.062,473.189,1.42633,0.000747269,0.013996
HNRNPH3: heterogeneous nuclear ribonucleoprotein H3 (2H9),ENSGALG00000003947,104.187,473.987,2.18567,1.13E-07,8.37E-06
HNRNPM: heterogeneous nuclear ribonucleoprotein M,ENSGALG00000000377,96.5582,353.717,1.87313,3.98E-11,6.50E-09
HOOK3: hook homolog 3 (Drosophila),ENSGALG00000015390,25.9358,74.6871,1.52591,0.00301121,0.0385901
HS2ST: Heparan sulfate 2-O-sulfotransferase 1,ENSGALG00000006255,14.3313,42.2731,1.56057,0.00238287,0.0330023
HSD17B4: hydroxysteroid (17-beta) dehydrogenase 4,ENSGALG00000002187,15.2028,44.8662,1.56129,0.00134963,0.0219487
HSPA14: heat shock 70kDa protein 14,ENSGALG00000006643,16.9778,53.8125,1.66429,1.20E-08,1.14E-06
HSPA9B : heat shock 70kDa protein 9B,ENSGALG00000002363,53.1665,153.144,1.5263,0.00391407,0.0458777
HSPH1: heat shock 105kDa/110kDa protein 1,ENSGALG00000017077,35.8113,93.9736,1.39184,3.67E-05,0.00126373
HTRA1: HtrA serine peptidase 1,ENSGALG00000009546,8.99369,22.9313,1.35034,9.22E-05,0.00262661
Hypothetical protein LOC419429,ENSGALG00000002005,0.925162,8.02019,3.11586,1.79E-05,0.000699238
hypothetical protein LOC426890,ENSGALG00000002419,2.81273,7.58074,1.43037,0.00222277,0.0315145
IARS: isoleucyl-tRNA synthetase,ENSGALG00000004813,31.2633,93.2522,1.57667,0.00234565,0.0326808
IARS: isoleucyl-tRNA synthetase,ENSGALG00000002037,5.85311,17.4627,1.577,1.77E-05,0.000693569
"ID2: inhibitor of DNA binding 2, dominant negative helix-loop-helix protein",ENSGALG00000016403,126.222,695.947,2.46302,4.12E-06,0.000192485
"ID4: inhibitor of DNA binding 4, dominant negative helix-loop-helix protein",ENSGALG00000012682,11.0555,45.1423,2.02972,0.00161849,0.0251973
IDE: insulin-degrading enzyme,ENSGALG00000006865,54.2852,110.943,1.03119,6.78E-13,1.61E-10
IDH3A: isocitrate dehydrogenase 3 (NAD+) alpha,ENSGALG00000003303,17.6681,72.9126,2.04502,3.03E-11,5.16E-09
IDI1: isopentenyl-diphosphate delta isomerase 1,ENSGALG00000006723,44.0405,112.236,1.34963,8.94E-05,0.00256133
IFRD1: interferon-related developmental regulator 1,ENSGALG00000009448,17.5198,55.8814,1.67338,0.00269958,0.0360001
"IGSF11: immunoglobulin superfamily, member 11",ENSGALG00000015084,0.946772,6.42853,2.7634,0.000133728,0.00359956
IL1RAP: interleukin 1 receptor accessory protein,ENSGALG00000007253,17.0131,68.518,2.00984,7.11E-05,0.00213961
"IL28RA: interleukin 28 receptor, alpha",ENSGALG00000004231,6.78271,17.2886,1.34989,0.000847578,0.0153271
IMPACT: impact RWD domain protein,ENSGALG00000015093,13.0676,27.371,1.06666,0.00075785,0.0141601
INADL: InaD-like (Drosophila),ENSGALG00000010934,6.18006,14.3764,1.21801,0.00202662,0.0297312
INSIG1: insulin induced gene 1,ENSGALG00000017394,21.0602,113.577,2.43107,3.85E-06,0.000180644
INTS4: integrator complex subunit 4,ENSGALG00000000091,5.76568,15.7644,1.45111,3.39E-11,5.69E-09
IP6K2: inositol hexakisphosphate kinase 2,ENSGALG00000005701,8.52268,31.9442,1.90618,0.00208882,0.0303897
IPCEF1: interaction protein for cytohesin exchange factors 1,ENSGALG00000013625,11.4333,70.961,2.63378,5.93E-07,3.64E-05
IPO11: importin 11,ENSGALG00000014740,27.8968,80.5961,1.53061,0.000710456,0.013425
IPO5: importin 5,ENSGALG00000016887,118.294,307.054,1.37612,0.00327222,0.0405543
IPO8: importin 8,ENSGALG00000012953,15.7701,43.9396,1.47833,0.00292224,0.0378028
IQSEC3: IQ motif and Sec7 domain 3,ENSGALG00000012975,3.96156,18.4608,2.22033,1.71E-08,1.53E-06
IREB2: iron-responsive element binding protein 2,ENSGALG00000003171,23.05,62.2569,1.43346,1.35E-11,2.54E-09
IST1: increased sodium tolerance 1 homolog (yeast),ENSGALG00000000811,21.5602,44.5687,1.04766,0.000668263,0.0128356
ISY1-RAB43: ISY1-RAB43 readthrough,ENSGALG00000005012,21.2564,78.2242,1.87972,3.57E-05,0.00124382
ITFG2: integrin alpha FG-GAP repeat containing 2,ENSGALG00000014335,35.8907,93.5165,1.38161,0.00204988,0.029955
"ITGA4: integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)",ENSGALG00000008978,10.495,77.5392,2.88523,7.59E-08,5.83E-06
"ITGB3: integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",ENSGALG00000000379,14.627,124.62,3.09083,2.95E-09,3.19E-07
ITPKA: inositol-trisphosphate 3-kinase A,ENSGALG00000008603,14.0093,42.778,1.61048,0.000474828,0.0098586
IWS1: IWS1 homolog (S. cerevisiae),ENSGALG00000001803,32.5711,80.6457,1.308,6.32E-08,4.92E-06
JAK2:Janus kinase 2,ENSGALG00000015027,3.50147,8.35646,1.25493,0.00249217,0.0340713
JHDM1D: jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae),ENSGALG00000012848,21.5132,49.7689,1.21002,1.25E-05,0.000514545
JMJD6: jumonji domain containing 6,ENSGALG00000001802,16.5943,45.6509,1.45995,0.000809302,0.0147816
KAL1: Kallmann syndrome 1 sequence,ENSGALG00000016616,8.02975,59.5543,2.89078,0,0
KANSL3: KAT8 regulatory NSL complex subunit 3,ENSGALG00000014540,16.6878,33.7033,1.01409,3.71E-06,0.00017625
KBTBD8: kelch repeat and BTB (POZ) domain containing 8,ENSGALG00000007569,8.285,20.1232,1.28029,0.00129009,0.0211692
KCTD1: potassium channel tetramerisation domain containing 1,ENSGALG00000015124,11.298,49.598,2.13421,8.01E-05,0.00235864
KCTD10: potassium channel tetramerisation domain containing 10,ENSGALG00000005138,11.8427,32.9563,1.47655,0.000283009,0.00661259
KCTD15: potassium channel tetramerisation domain containing 15,ENSGALG00000004907,9.02182,86.2947,3.25778,2.82E-08,2.43E-06
KCTD9: potassium channel tetramerisation domain containing 9,ENSGALG00000000275,9.36236,26.7614,1.51521,0.00353193,0.0426416
KDELR3: KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3,ENSGALG00000012251,39.7543,83.434,1.06952,0.000404962,0.00877492
KDM3B: lysine (K)-specific demethylase 3B,ENSGALG00000007663,22.7564,45.742,1.00725,0.000405392,0.0087761
"KHDRBS3: KH domain containing, RNA binding, signal transduction associated 3",ENSGALG00000016203,17.1362,53.9663,1.65501,1.23E-07,8.97E-06
KIAA0020: KIAA0020,ENSGALG00000010178,81.336,213.974,1.39547,0.00401161,0.046716
KIAA0825: KIAA0825,ENSGALG00000014664,7.0075,18.5483,1.40431,0.000540102,0.0109508
KIAA1147: KIAA1147,ENSGALG00000012874,6.00263,15.9225,1.4074,0.00392084,0.0459341
KIAA1432: KIAA1432,ENSGALG00000015036,10.2279,32.4457,1.66552,0.000810749,0.0147816
KIAA1715,ENSGALG00000009283,8.92581,32.8835,1.88131,1.48E-08,1.34E-06
KIAA1737: KIAA1737,ENSGALG00000010390,5.32707,12.1418,1.18857,0.000688089,0.0131097
KIF20A: kinesin family member 20A,ENSGALG00000003231,18.2243,41.0379,1.1711,0.00273443,0.0362216
KIF2C: kinesin family member 2C,ENSGALG00000010120,28.5686,65.0913,1.18803,0.000350851,0.00780535
KLHL15: kelch-like 15 (Drosophila),ENSGALG00000016345,8.40966,16.9241,1.00896,0.00339489,0.0413716
"KLHL2: kelch-like 2, Mayven (Drosophila)",ENSGALG00000009554,10.8618,60.4294,2.47598,1.12E-08,1.07E-06
KLHL28: kelch-like 28,ENSGALG00000012489,3.22228,8.72272,1.4367,0.000132975,0.00358342
KLHL7: kelch-like 7  ,ENSGALG00000010938,12.3124,34.4735,1.48538,0.00265261,0.0355974
KPNA5: karyopherin alpha 5,ENSGALG00000014937,6.91845,22.2582,1.68582,0.00150238,0.0237864
KRAS: v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,ENSGALG00000014033,15.3873,49.3928,1.68256,0.00105189,0.0183605
"LAMB4: laminin, beta 4",ENSGALG00000007917,7.62205,28.2063,1.88777,0.00011361,0.00312655
"LAMC1: laminin, gamma 1 (formerly LAMB2)",ENSGALG00000004620,45.5138,99.3361,1.12601,1.12E-05,0.000464315
LANCL3: LanC lantibiotic synthetase component C-like 3 (bacterial),ENSGALG00000016265,9.70668,23.0523,1.24786,0.000704009,0.0133196
LARS: leucyl-tRNA synthetase,ENSGALG00000007494,18.148,53.7494,1.56644,0.00357696,0.042918
LAS1L: LAS1-like (S. cerevisiae),ENSGALG00000004713,36.6705,97.1156,1.40508,1.31E-08,1.22E-06
LBH: limb bud and heart development,ENSGALG00000009052,11.5612,49.7521,2.10546,0.000350026,0.00779443
LECT1: leukocyte cell derived chemotaxin 1,ENSGALG00000016945,27.266,72.6432,1.41372,0.00418051,0.0479178
"LFNG: Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe",ENSGALG00000004284,2.44561,7.38555,1.59451,0.00221715,0.0314539
"LGALS3: lectin, galactoside-binding, soluble, 3",ENSGALG00000012173,9.1612,54.4277,2.57073,7.44E-06,0.000325849
LHX9: LIM homeobox 9,ENSGALG00000002223,5.60644,21.093,1.91161,1.44E-09,1.68E-07
LIFR: leukemia inhibitory factor receptor,ENSGALG00000003733,19.0187,72.0526,1.92163,0,0
"LIG1: ligase I, DNA, ATP-dependent",ENSGALG00000001350,12.8506,29.4885,1.19832,1.71E-06,8.94E-05
"LIG1: ligase I, DNA, ATP-dependent",ENSGALG00000013384,8.01787,18.4011,1.1985,0.000109623,0.00304194
LIMA1: LIM domain and actin binding 1,ENSGALG00000006169,57.286,130.106,1.18343,4.87E-07,3.04E-05
LIMCH1: LIM and calponin homology domains 1,ENSGALG00000014258,5.71287,21.187,1.89089,1.33E-08,1.23E-06
LIN28:lin-28 homolog  ,ENSGALG00000000388,16.135,56.6026,1.81068,0.000385869,0.00846338
LIN7C: lin-7 homolog C (C. elegans),ENSGALG00000012170,8.12839,24.2545,1.57721,6.16E-08,4.81E-06
LMBR1: limb region 1 homolog (mouse),ENSGALG00000006400,13.4358,40.4637,1.59055,0.00277836,0.0365692
LMNB1: lamin B1,ENSGALG00000015120,11.7792,32.9275,1.48305,0.00201509,0.0296745
LMO4: LIM domain only 4,ENSGALG00000006252,77.429,462.632,2.57892,5.69E-13,1.41E-10
LNPEP: leucyl/cystinyl aminopeptidase,ENSGALG00000015301,11.242,29.2398,1.37904,6.76E-05,0.00208186
LONRF1: LON peptidase N-terminal domain and ring finger 1,ENSGALG00000013725,3.09393,10.4563,1.75686,0.00039845,0.00866601
LRP6: low density lipoprotein receptor-related protein 6,ENSGALG00000011558,15.1075,36.9018,1.28842,1.54E-05,0.000612917
LRPPRC: leucine-rich pentatricopeptide repeat containing,ENSGALG00000009967,153.201,337.254,1.13841,0.000381775,0.00839724
LRRC28: leucine rich repeat containing 28,ENSGALG00000007057,14.1187,39.2778,1.4761,0.000154524,0.00403823
LSAMP: limbic system-associated membrane protein,ENSGALG00000015087,40.4326,145.951,1.85189,4.20E-07,2.66E-05
LSG1: large subunit GTPase 1 homolog (S. cerevisiae),ENSGALG00000007058,22.0025,70.1144,1.67205,0.000392967,0.00857071
LSM14A: LSM14 homolog A,ENSGALG00000004935,22.2006,52.7108,1.2475,0.00409326,0.0471807
"LSM7 homolog,  U6 small nuclear RNA associated",ENSGALG00000000408,1.29545,14.9827,3.53178,4.53E-05,0.00149916
LTK: leukocyte receptor tyrosine kinase,ENSGALG00000008615,37.1579,268.551,2.85345,0,0
LTN1: E3 ubiquitin-protein ligase listerin,ENSGALG00000015804,10.6838,22.9884,1.10548,1.67E-14,5.32E-12
LTV1: LTV1 homolog (S. cerevisiae),ENSGALG00000013765,15.3583,68.0977,2.14859,0.00017665,0.00449073
LUC7L2: LUC7-like 2 (S. cerevisiae),ENSGALG00000011857,31.0755,69.0233,1.15131,0.000802666,0.0147147
LYPLA2: lysophospholipase II,ENSGALG00000004002,9.01283,26.7369,1.56878,0.000646036,0.0125013
"LYSMD3: LysM, putative peptidoglycan-binding, domain containing 3",ENSGALG00000014651,3.02452,10.8063,1.8371,0.00307486,0.0391906
MAD2L1BP: MAD2L1 binding protein ,ENSGALG00000010305,5.01328,18.6993,1.89915,0.00342999,0.0416471
MAK16: MAK16 homolog (S. cerevisiae),ENSGALG00000004338,12.216,38.0513,1.63918,2.60E-09,2.86E-07
MALT1: mucosa associated lymphoid tissue lymphoma translocation gene 1 ,ENSGALG00000002872,10.303,25.1184,1.28568,0.0027706,0.036509
MAP2K5: mitogen-activated protein kinase kinase 5,ENSGALG00000007930,8.3989,30.0783,1.84045,0.000340218,0.00760505
MAP3K2: mitogen-activated protein kinase kinase kinase 2,ENSGALG00000011502,9.5241,21.9461,1.20431,1.07E-06,6.04E-05
MAP3K3: mitogen-activated protein kinase kinase kinase 3-like,ENSGALG00000005884,2.32508,8.33835,1.84248,0.00117815,0.0198087
MAP3K4: mitogen-activated protein kinase kinase kinase 4,ENSGALG00000020003,16.0431,43.5782,1.44165,5.94E-07,3.64E-05
MAP3K5: mitogen-activated protein kinase kinase kinase 5,ENSGALG00000013892,11.1796,70.8846,2.66461,3.18E-12,6.68E-10
MAPK1: mitogen-activated protein kinase 1,ENSGALG00000001501,25.3842,54.2144,1.09475,0.000305459,0.00703007
MAPK1IP1L: mitogen-activated protein kinase 1 interacting protein 1-like,ENSGALG00000012175,20.544,64.9678,1.66101,0.00173686,0.0264749
"MAPRE1: microtubule-associated protein, RP/EB family, member 1",ENSGALG00000006657,56.1072,159.804,1.51004,3.98E-05,0.00134697
MARCH5: membrane-associated ring finger (C3HC4) 5,ENSGALG00000006884,9.8739,37.0919,1.90941,2.24E-06,0.000112481
MARK1: MAP/microtubule affinity-regulating kinase 1,ENSGALG00000009483,28.0457,70.5205,1.33026,2.01E-06,0.000102652
MASTL: serine/threonine-protein kinase greatwall ,ENSGALG00000007507,8.87585,23.5174,1.40577,5.57E-10,6.99E-08
"MAT2B: methionine adenosyltransferase II, beta",ENSGALG00000001750,3.92987,13.9882,1.83166,1.34E-05,0.000547134
MATN4: matrilin 4,ENSGALG00000004028,1.81365,12.2516,2.756,8.12E-05,0.00238284
MBTD: mbt domain containing 1,ENSGALG00000002954,49.6253,102.015,1.03964,0.00142625,0.0228132
MCF2: MCF.2 cell line derived transforming sequence,ENSGALG00000006562,5.20267,15.5724,1.58167,4.44E-07,2.78E-05
MCFD2: multiple coagulation factor deficiency 2,ENSGALG00000010017,21.9474,163.588,2.89795,2.31E-07,1.57E-05
MCM10: minichromosome maintenance complex component 10,ENSGALG00000005870,14.6738,42.131,1.52164,4.83E-08,3.93E-06
MCMBP: minichromosome maintenance complex binding protein,ENSGALG00000009455,23.3865,62.7493,1.42392,0.00237765,0.0329603
MDGA2: MAM domain containing glycosylphosphatidylinositol anchor 2,ENSGALG00000012228,6.3425,14.1919,1.16194,0.00317944,0.03986
"MDM2: Mdm2, p53 E3 ubiquitin protein ligase homolog (mouse)",ENSGALG00000009942,5.0354,17.0048,1.75576,0.00254365,0.034613
MED21: mediator complex subunit 21,ENSGALG00000014088,3.17129,11.775,1.89258,0.00422699,0.0481666
MED7: mediator complex subunit 7,ENSGALG00000003870,2.09631,16.7935,3.00198,0.00133203,0.0217534
MEGF9: multiple EGF-like-domains 9,ENSGALG00000023838,8.06893,59.3397,2.87855,1.48E-06,7.97E-05
MESDC2: mesoderm development candidate 2,ENSGALG00000006403,11.4661,36.2476,1.66051,0.00115188,0.0196312
MET16: Methyltransferase-like protein 16,ENSGALG00000014901,8.90157,24.2106,1.44351,2.15E-09,2.42E-07
METAP2: methionyl aminopeptidase 2,ENSGALG00000011377,34.5148,160.005,2.21283,3.29E-05,0.00117002
METTL19: methyltransferase like 19,ENSGALG00000015594,1.79598,7.49171,2.06053,1.36E-07,9.79E-06
METTL8: methyltransferase like 8,ENSGALG00000009564,7.4264,27.5806,1.89292,0.00182648,0.0274997
MFSD2A: major facilitator superfamily domain containing 2A,ENSGALG00000003879,7.93892,23.9857,1.59516,0.00111393,0.0192134
MFSD9: major facilitator superfamily domain containing 9,ENSGALG00000016792,1.62088,5.98447,1.88445,1.79E-05,0.000699238
"MIA3: melanoma inhibitory activity family, member ",ENSGALG00000009434,50.3421,110.319,1.13185,0.00332402,0.0408973
MIB1: mindbomb E3 ubiquitin protein ligase 1,ENSGALG00000014974,16.0143,61.6137,1.94389,0.000277876,0.00653708
MICALL1: MICAL-like 1,ENSGALG00000012265,8.49966,27.6656,1.70262,0.000188409,0.00472899
"MIOS: missing oocyte, meiosis regulator, homolog (Drosophila)",ENSGALG00000010699,5.5372,19.0265,1.78078,0.00039978,0.00868684
MKRN2: makorin ring finger protein 2,ENSGALG00000004991,5.23883,17.4566,1.73646,0.00047341,0.00984668
MLF1IP: MLF1 interacting protein,ENSGALG00000020210,4.76491,18.4686,1.95455,6.96E-05,0.00210832
MLH3: mutL homolog 3 (E. coli),ENSGALG00000010304,9.32848,19.8304,1.088,0.000548556,0.0110837
MLXIP: MLX interacting protein,ENSGALG00000004397,19.8716,42.4138,1.09382,2.02E-05,0.00077669
MMP17: matrix metallopeptidase 17 (membrane-inserted),ENSGALG00000002461,3.37197,8.64695,1.3586,0.00446054,0.0499162
MOBKL3: preimplantation protein 3,ENSGALG00000008128,17.9955,39.3516,1.12879,0.00397584,0.0464153
MORC2: MORC family CW-type zinc finger 2,ENSGALG00000007512,13.5238,35.2805,1.38337,0.00212858,0.0307393
MORC3: MORC family CW-type zinc finger 3,ENSGALG00000016040,19.1567,41.5534,1.11712,0.00203393,0.0297778
MORF4L1: mortality factor 4 like 1 isoform 1,ENSGALG00000008146,25.1593,65.5258,1.38097,0.00162466,0.0252427
MOSPD1: motile sperm domain containing 1,ENSGALG00000006132,12.4991,29.0798,1.2182,0.000267887,0.00633576
MOSPD2: motile sperm domain containing 2,ENSGALG00000016568,6.91278,21.6175,1.64486,1.36E-05,0.000552744
"MOXD1: monooxygenase, DBH-like 1",ENSGALG00000002911,36.5564,130.973,1.84107,1.06E-09,1.25E-07
MPLKIP: M-phase specific PLK1 interacting protein,ENSGALG00000023024,12.4663,40.3467,1.69442,0.00127078,0.0209289
"MRC2: mannose receptor, C type 2",ENSGALG00000000461,6.14841,15.4771,1.33185,1.80E-06,9.27E-05
MRPL15: mitochondrial ribosomal protein L15,ENSGALG00000015280,30.1124,65.1788,1.11404,0.00111341,0.0192134
MRPL3: mitochondrial ribosomal protein L3,ENSGALG00000011603,20.4001,59.7572,1.55054,0.00279467,0.0367225
MRPL53: mitochondrial ribosomal protein L53,ENSGALG00000015761,6.50232,25.497,1.9713,0.001514,0.0239378
"MTA3: metastasis associated 1 family, member 3",ENSGALG00000009925,8.76599,20.6894,1.2389,6.19E-12,1.23E-09
"MTBP: Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) binding protein, 104kDa",ENSGALG00000016404,16.3189,33.2067,1.02493,0.00047245,0.00984668
MTF2: metal response element binding transcription factor 2,ENSGALG00000005911,24.6051,61.0415,1.31083,0.00281816,0.0369648
MTFMT: mitochondrial methionyl-tRNA formyltransferase,ENSGALG00000007353,18.7629,38.6743,1.04349,0.00411051,0.0473013
"MTHFD2: methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",ENSGALG00000013480,8.27331,16.8633,1.02735,3.60E-08,3.04E-06
MTIF2: mitochondrial translational initiation factor 2,ENSGALG00000008117,17.553,52.2478,1.57365,0.00283167,0.0370627
MTMR10: myotubularin related protein 10,ENSGALG00000003883,17.7642,36.5182,1.03965,6.39E-06,0.000284036
MTMR8: myotubularin related protein 8 ,ENSGALG00000007590,7.3169,21.1358,1.53038,2.90E-08,2.49E-06
MTPN: myotrophin,ENSGALG00000012895,17.0214,108.493,2.67218,6.28E-07,3.80E-05
MTR: 5-methyltetrahydrofolate-homocysteine methyltransferase,ENSGALG00000014464,5.27673,12.6165,1.25759,0.0033812,0.0413126
MTRF1L: mitochondrial translational release factor 1-like,ENSGALG00000013609,7.10064,14.4559,1.02563,1.58E-05,0.000627359
MYBBP1A: MYB binding protein (P160) 1a,ENSGALG00000001363,28.0216,73.8828,1.3987,0.00192334,0.0285528
MYBL2: myeloblastosis oncogene-like 2,ENSGALG00000003503,20.0782,42.8054,1.09216,0.00113678,0.0194636
MYC: v-myc myelocytomatosis viral oncogene homolog (avian),ENSGALG00000016308,18.2773,60.7572,1.733,0.000688152,0.0131097
"MYCN: v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",ENSGALG00000016462,9.5967,23.2603,1.27726,0.00416103,0.0477414
MYEF2: myelin expression factor 2,ENSGALG00000004905,12.9595,49.9637,1.94687,1.64E-07,1.16E-05
MYLIP: myosin regulatory light chain interacting protein,ENSGALG00000012704,8.46438,36.9213,2.12498,8.80E-13,2.07E-10
MYLK: myosin light chain kinase,ENSGALG00000011708,62.9344,133.105,1.08064,6.66E-16,2.63E-13
MYO10: myosin X,ENSGALG00000012954,18.3835,64.8008,1.8176,0,0
MYO19: myosin XIX,ENSGALG00000005374,18.1737,36.7556,1.01611,0.000357478,0.0079301
MYO6: myosin VI,ENSGALG00000015898,5.92302,19.857,1.74524,2.09E-07,1.44E-05
"MYSM1: myb-like, SWIRM and MPN domains 1 ",ENSGALG00000010869,11.889,24.717,1.05588,0.000364593,0.00806493
N-syndecan: syndecan 3,ENSGALG00000000569,15.7172,42.6326,1.43961,0.00352518,0.0426034
N4BP1: NEDD4 binding protein 1,ENSGALG00000003907,27.8213,71.8993,1.36979,1.52E-11,2.84E-09
"NAA16: N(alpha)-acetyltransferase 16, NatA auxiliary subunit",ENSGALG00000016953,17.5438,40.1791,1.19548,1.97E-06,0.000100587
"NAA25: N(alpha)-acetyltransferase 25, NatB auxiliary subunit ",ENSGALG00000004780,34.5607,75.0649,1.11901,0.000644798,0.0124877
NADK: NAD kinase,ENSGALG00000001359,6.36201,13.748,1.11167,3.89E-07,2.49E-05
NADKD1: NAD kinase domain containing 1,ENSGALG00000003558,6.82815,19.1736,1.48955,0.000218964,0.00533399
NAE1: NEDD8-activating enzyme E1 regulatory subunit,ENSGALG00000005211,13.1923,33.1311,1.32849,1.82E-05,0.000705962
NAMPT: nicotinamide phosphoribosyltransferase,ENSGALG00000008098,12.0475,40.1975,1.73838,0.00168312,0.0259655
NARS: asparaginyl-tRNA synthetase,ENSGALG00000003087,11.923,51.9778,2.12415,1.92E-11,3.47E-09
NAT10: N-acetyltransferase 10 (GCN5-related),ENSGALG00000014573,45.8039,110.748,1.27374,0,0
NAT9: N-acetyltransferase 9,ENSGALG00000007723,14.2091,29.9316,1.07485,0.000355324,0.00788981
NCKIPSD: NCK interacting protein with SH3 domain,ENSGALG00000005713,5.03299,21.5565,2.09863,3.81E-11,6.31E-09
NCLN: nicalin,ENSGALG00000013369,12.3357,27.4778,1.15543,0.00137915,0.0223353
NCOA4: nuclear receptor coactivator 4,ENSGALG00000002066,27.2596,68.1777,1.32253,0.000447524,0.00946002
NDST2: N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2,ENSGALG00000005107,17.8079,48.4353,1.44355,1.49E-06,7.99E-05
NDST3: N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3,ENSGALG00000012010,5.6088,14.8063,1.40045,7.01E-05,0.00211575
"NDUFAF1: NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1",ENSGALG00000008587,57.6844,182.924,1.66499,0.00153388,0.0241703
"NDUFAF4: NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4",ENSGALG00000019921,10.9763,44.6804,2.02525,0.00331981,0.0408973
NENF: neudesin neurotrophic factor,ENSGALG00000009821,7.71127,26.4509,1.77828,0.00209294,0.0303979
NET1: neuroepithelial cell transforming 1,ENSGALG00000008437,9.68423,21.1114,1.12431,0.0018077,0.0272861
