Gene	L3	L4	nhr-67	N2	max_wtLC/N2	RNAi_screen	Protein size(s)	Protein feature	TF	Disease ortholog	Strict human ortholog	NCBI KOG	Bork KOG	PFAM domain	WBPhenotype	NOT WBPheno
WBGene00000883|Y75B12B.2|cyn-7	7388.25	9801.38	3761.56	5155.96	1.9		171 aa	Seg			StrictHumOrth	KOG0865 (Cyclophilin type peptidyl-prolyl cis-trans isomerase)	COG0652: Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family; KOG0865: Cyclophilin type peptidyl-prolyl cis-trans isomerase; meNOG15253: Isomerase	PF00160: Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	WBPhenotype: Emb; protein aggregation variant; transgene subcellular localization variant	NOT WBPheno: Bmd; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00011607|T08D2.2	0.19	0	0	0.1	1.9		317 aa	Tmhmm				KOG2788 (Glycosyltransferase)	COG0472: UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase; KOG2788: Glycosyltransferase; meNOG05638: Udp-N-Acetylglucosamine--Dolichyl-Phosphate N- acetylglucosaminephosphotransferase (EC 2.7.8.15)			
WBGene00009648|F43C1.3	19.05	1.91	0	10.07	1.89		188 aa	Ncoils				KOG4317 (Predicted Zn-finger protein)	KOG4317: Predicted Zn-finger protein; meNOG21142: Zinc finger HIT domain-containing protein 2	PF04438: HIT zinc finger		
WBGene00022458|Y110A7A.8	5.2	1.95	4.2	2.75	1.89		504 aa	Seg		OMIM_2010	StrictHumOrth	KOG2574 (mRNA splicing factor PRP31)	"COG1498: Protein implicated in ribosomal biogenesis, Nop56p homolog; KOG2574: mRNA splicing factor PRP31; meNOG05428: U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31)"	PF01798: Putative snoRNA binding domain; PF08060: NOSIC (NUC001) domain; PF09785: Prp31 C terminal domain	WBPhenotype: Emb; Led; Let; Mlt; Pvl; Rup; Ste; Stp; Unc; cell proliferation increased; excess intestinal cells; late embryonic arrest; protein aggregation variant; reduced brood size; transgene expression increased; transgene subcellular localization variant	NOT WBPheno: Bmd; Variant
WBGene00022400|Y97E10AR.5|rpb-9	58.8	85.29	0.73	45.13	1.89		167 aa				StrictHumOrth	KOG2691 (RNA polymerase II subunit 9)	"COG1594: DNA-directed RNA polymerase, subunit M/Transcription elongation factor TFIIS; KOG2691: RNA polymerase II subunit 9; meNOG18653: RNA polymerase"	PF01096: Transcription factor S-II (TFIIS); PF02150: RNA polymerases M/15 Kd subunit		NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00018212|F39H12.1	5.61	1.65	0	2.97	1.89		430 aa	Seg; Ncoils								NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00001768|Y48E1B.10|gst-20	7.89	17.62	1.27	9.33	1.89		207 aa	Seg				KOG1695 (Glutathione S-transferase)	KOG1695: Glutathione S-transferase; meNOG14525: Glutathione protein	"PF02798: Glutathione S-transferase, N-terminal domain"		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; enzyme activity reduced; postembryonic development variant
WBGene00004766|W02D7.7|sel-9	61.78	36.79	39.56	32.76	1.89		203 aa	SignalP; Tmhmm; Seg; Ncoils				KOG1692 (Putative cargo transport protein EMP24 (p24 protein family))	KOG1692: Putative cargo transport protein EMP24 (p24 protein family); meNOG08763: Transmembrane emp24 domain protein	PF01105: emp24/gp25L/p24 family/GOLD	WBPhenotype: Gro; Lva; Pvl; Unc	NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00009408|F35C12.3	0.49	0.14	0	0.26	1.88		192-368 aa	SignalP				LSE1124 (Unnamed protein); LSE1125 (Unnamed protein)				NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00044072|ZK1128.5|tag-246	0.49	0	0	0.26	1.88		446 aa					KOG2570 (SWI/SNF transcription activation complex subunit)	COG5531: SWIB-domain-containing proteins implicated in chromatin remodeling; KOG2570: SWI/SNF transcription activation complex subunit; meNOG06598: Associated protein	PF02201: SWIB/MDM2 domain	WBPhenotype: Bmd; Emb; Gro; Let; Lva; Lvl; Pvl; Sck; Ste; Stp; Unc; axon fasciculation variant; axon midline crossing variant; cord commissures fail to reach target; pattern of transgene expression variant; phasmid socket absent; receptor mediated endocytosis defective; reduced brood size; ventral cord patterning variant	NOT WBPheno: Variant; embryonic development variant; organism UV hypersensitive; postembryonic development variant
WBGene00004441|C53H9.1|rpl-27	1089.08	1222	1167.55	648.75	1.88		136 aa					KOG3418 (60S ribosomal protein L27)	COG2163: Ribosomal protein L14E/L6E/L27E; KOG3418: 60S ribosomal protein L27; meNOG18487: Ribosomal protein L27	PF00467: KOW motif	WBPhenotype: Emb; Lva; Mlt; Ste; transgene expression variant	NOT WBPheno: Let
WBGene00008413|D2030.3	45.24	2.1	69.96	24.02	1.88		508 aa	Seg; Ncoils							WBPhenotype: Gro; Lva; body wall muscle myosin organization defective; early larval arrest; pattern of transgene expression variant; receptor mediated endocytosis defective; reduced brood size	NOT WBPheno: Bmd; Emb; Ste; Variant; transgene subcellular localization variant
WBGene00018787|F54A5.2|cutl-20	7.32	0	7.05	3.89	1.88		360 aa	SignalP; Seg				TWOG0200 (Cuticulin precursor)		PF00100: Zona pellucida-like domain		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00003825|B0286.4|ntl-2	41.5	59.12	296.49	31.45	1.88		317-444 aa	Seg	Gupta_TF		StrictHumOrth	KOG2151 (Predicted transcriptional regulator)	COG5601: General negative regulator of transcription subunit; KOG2151: Predicted transcriptional regulator; meNOG06792: CCR4-NOT transcription complex subunit 2	PF04153: NOT2 / NOT3 / NOT5 family	WBPhenotype: Adl; Emb; Gro; Let; Lva; Pvl; Rup; Sck; Ste; Stp; Unc; fat content reduced; growth rate variant; late larval arrest; pattern of transgene expression variant; receptor mediated endocytosis defective; reduced brood size; small	NOT WBPheno: fat content variant
WBGene00009218|F28D1.9|acs-20	2.18	2.1	0	1.16	1.88		684 aa	Tmhmm; Seg		OMIM_2010			COG0318: Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II; KOG1179: Very long-chain acyl-CoA synthetase/fatty acid transporter; meNOG05853: Fatty-Acid protein	PF00501: AMP-binding enzyme	WBPhenotype: Age; age associated fluorescence increased	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00013734|Y111B2A.10	36.77	6	1.71	19.57	1.88		312-430 aa	Seg; Ncoils	Thomas+W_TF			KOG1721 (Zn-finger)	KOG1721: FOG: Zn-finger; meNOG12611: Gdnf-Inducible zinc finger protein 1	"PF00096: Zinc finger, C2H2 type"	WBPhenotype: Emb; Let; Ste	NOT WBPheno: Bmd; Gro; Lva; Lvl; Stp; Variant; postembryonic development variant
WBGene00021403|Y38C1AB.1	0	1.07	0	0.57	1.88		261 aa	SignalP					KOG2246: Galactosyltransferases; meNOG04292: N-Acetylgalactosamine protein	PF02434: Fringe-like		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00010727|K09G1.1	3.26	39.04	93.44	20.83	1.87		199-246 aa	Tmhmm; Seg				KOG4788 (Members of chemokine-like factor super family and related proteins)	KOG4788: Members of chemokine-like factor super family and related proteins			NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00001874|T09E8.2|him-17	283.79	0.14	1.4	151.55	1.87		954 aa	Seg; Ncoils							WBPhenotype: Emb; Him; meiosis variant	NOT WBPheno: Bmd; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00016561|C41D11.1|eri-6	0.24	0.43	1.56	0.23	1.87		191-710 aa	Seg; Ncoils				LSE0296 (Uncharacterized protein); LSE1197 (Unnamed protein)		PF06918: Protein of unknown function (DUF1280)		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00004501|C52E4.4|rpt-1	426.77	61.77	720.47	228.32	1.87		435 aa	Seg			StrictHumOrth	"KOG0729 (26S proteasome regulatory complex, ATPase RPT1)"	"COG1222: ATP-dependent 26S proteasome regulatory subunit; KOG0729: 26S proteasome regulatory complex, ATPase RPT1; meNOG04363: The 26S protease is involved in the ATP-dependent degradation of ubiquitinated proteins. The regulatory (or ATPase) complex confers ATP dependency and substrate specificity to the 26S"	PF00004: ATPase family associated with various cellular activities (AAA)	WBPhenotype: Age; Emb; Lvl; Sck; Ste	NOT WBPheno: Let; protein aggregation variant; transgene subcellular localization variant
WBGene00001602|C45B2.5|gln-1	0.12	0.56	101.84	0.3	1.87		385 aa						COG0174: Glutamine synthetase; KOG0683: Glutamine synthetase; meNOG05406: Glutamine synthetase	"PF00120: Glutamine synthetase, catalytic domain; PF03951: Glutamine synthetase, beta-Grasp domain"		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00020184|T03F1.1	0	0.56	0	0.3	1.87		419 aa	Seg			StrictHumOrth	KOG2336 (Molybdopterin biosynthesis-related protein)	COG0476: Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2; KOG2336: Molybdopterin biosynthesis-related protein; meNOG05163: Ubiquitin-Activating enzyme E1 domain-containing protein 1 (UFM1- activating enzyme)	PF00899: ThiF family		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00003553|C17G1.6|nas-37	0.24	3.77	0	2.02	1.87		685-765 aa	SignalP; Tmhmm; Seg				KOG3714 (Meprin A metalloprotease)	KOG3714: Meprin A metalloprotease; meNOG26466: Zinc metalloproteinase nas	PF00090: Thrombospondin type 1 domain; PF01400: Astacin (Peptidase family M12A)	WBPhenotype: Bmd; Let; Lon; Mlt; Ste; cuticle shedding defect	NOT WBPheno: Emb; Variant
WBGene00050956|C14A6.13	0	9.2	0	4.93	1.87		231 aa	Tmhmm; Seg; Ncoils								
WBGene00021012|W03G1.6|pig-1	2.78	0	0	1.49	1.87		699-703 aa	Seg			StrictHumOrth		COG0515: Serine/threonine protein kinase; KOG0583: Serine/threonine protein kinase; meNOG05364: Maternal embryonic leucine zipper kinase	PF00069: Protein kinase domain; PF02149: Kinase associated domain 1; PF06293: Lipopolysaccharide kinase (Kdo/WaaP) family; PF07714: Protein tyrosine kinase		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00020015|R11G11.12|nhr-210	0.14	9.94	0	5.33	1.86		441 aa	Tmhmm; Seg	Walhout_TF			KOG3575 (Hormone receptors); LSE0501 (7-transmembrane olfactory receptor)	KOG3575: FOG: Hormone receptors	PF10324: Serpentine type 7TM GPCR chemoreceptor Srw		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00001089|K04A8.6|dre-1	15.12	22.31	2.8	11.98	1.86		936 aa	Seg			StrictHumOrth	KOG1777 (Putative Zn-finger protein)	KOG1777: Putative Zn-finger protein; meNOG04944: F-Box only protein 11	PF00646: F-box domain; PF02207: Putative zinc finger in N-recognin (UBR box)	WBPhenotype: Egl; Let; Lva; Lvl; Mlt; Sck; Ste; Unc; growth rate variant; reduced brood size	NOT WBPheno: Bmd; Emb; Variant
WBGene00022235|Y73B6BL.6|sqd-1	69.07	65.11	73.85	37.09	1.86		305-308 aa	Seg				"KOG4205 (RNA-binding protein musashi/mRNA cleavage and polyadenylation factor I complex, subunit HRP1)"	"COG0724: RNA-binding proteins (RRM domain); KOG4205: RNA-binding protein musashi/mRNA cleavage and polyadenylation factor I complex, subunit HRP1; meNOG07604: Heterogeneous nuclear ribonucleoprotein D-like"	"PF00076: RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"	WBPhenotype: Stp; sterile F1	NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00001662|C34E10.1|gop-3	23.59	1.82	0.31	12.67	1.86		434 aa				StrictHumOrth	KOG2602 (Predicted cell surface protein homologous to bacterial outer membrane proteins)	COG4775: Outer membrane protein/protective antigen OMA87; KOG2602: Predicted cell surface protein homologous to bacterial outer membrane proteins; meNOG07278: Sorting and assembly machinery component 50 homolog protein	PF01103: Surface antigen	WBPhenotype: Emb; Gro; Let; Lva; Ste; pattern of transgene expression variant; receptor mediated endocytosis defective	NOT WBPheno: Bmd; Variant; transgene subcellular localization variant
WBGene00007993|C37E2.1	2.66	1.82	1.71	1.43	1.86		379 aa	Seg		OMIM_2010	StrictHumOrth	"KOG0784 (Isocitrate dehydrogenase, gamma subunit)"	"COG0473: Isocitrate/isopropylmalate dehydrogenase; KOG0784: Isocitrate dehydrogenase, gamma subunit; meNOG04286: Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial precursor -specific ICDH"	PF00180: Isocitrate/isopropylmalate dehydrogenase		NOT WBPheno: Bmd; Egl D; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; anoxia hypersensitive; postembryonic development variant
WBGene00008452|E02A10.1|mrps-5	9.19	33.33	2.8	17.92	1.86		418 aa	Seg				KOG2646 (Ribosomal protein S5)	COG0098: Ribosomal protein S5; KOG2646: Ribosomal protein S5; meNOG11136: Ribosomal protein S5	"PF00333: Ribosomal protein S5, N-terminal domain; PF03719: Ribosomal protein S5, C-terminal domain"	WBPhenotype: Emb; Gro; Lva; pattern of transgene expression variant; receptor mediated endocytosis defective; reduced brood size	NOT WBPheno: Bmd; Ste; Variant
WBGene00008692|F11C1.3|scav-4	10.04	0	1.25	5.4	1.86		560 aa	SignalP; Tmhmm; Seg				KOG3776 (Plasma membrane glycoprotein CD36 and related membrane receptors)	KOG3776: Plasma membrane glycoprotein CD36 and related membrane receptors; meNOG08296: Lysosome membrane protein 2	PF01130: CD36 family		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; pathogen induced death increased; postembryonic development variant
WBGene00007700|C24H11.2	10.88	13.85	0	7.45	1.86		384 aa	Seg				"KOG0374 (Serine/threonine specific protein phosphatase PP1, catalytic subunit)"	"COG0639: Diadenosine tetraphosphatase and related serine/threonine protein phosphatases; KOG0374: Serine/threonine specific protein phosphatase PP1, catalytic subunit; meNOG04633: Protein phosphatase"	PF00149: Calcineurin-like phosphoesterase		
WBGene00006827|F08C6.7|unc-98	0.28	9.83	0	5.29	1.86		310 aa		Thomas+W_TF			KOG1721 (Zn-finger)	KOG1721: FOG: Zn-finger		WBPhenotype: Bmd; Let; Unc; body wall muscle sarcomere morphology variant; muscle birefringence variant	NOT WBPheno: Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00013599|Y87G2A.11	0.78	0	0	0.42	1.86		362 aa	Seg			StrictHumOrth	"KOG1007 (WD repeat protein TSSC1, WD repeat superfamily)"	"COG2319: FOG: WD40 repeat; KOG1007: WD repeat protein TSSC1, WD repeat superfamily; meNOG06355: Protein TSSC1"	"PF00400: WD domain, G-beta repeat"		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00021492|Y40B10A.7	0.26	0	0	0.14	1.86		227 aa						COG4122: Predicted O-methyltransferase; KOG1663: O-methyltransferase; meNOG14334: Catechol-O-Methyltransferasedomain-Containing protein 1		WBPhenotype: Gro; cadmium hypersensitive	NOT WBPheno: Bmd; Emb; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00023414|R01H2.7	0.26	0	0	0.14	1.86		215 aa	Tmhmm								
WBGene00019405|K05F1.1	0.13	0	0	0.07	1.86		405 aa	SignalP; Tmhmm; Seg				LSE0694 (Unnamed protein)		PF01666: DX module		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00006773|W02D3.9|unc-37	1.45	36.39	3.27	19.61	1.86		612 aa	Seg				KOG0639 (Transducin-like enhancer of split protein (contains WD40 repeats))	COG2319: FOG: WD40 repeat; KOG0639: Transducin-like enhancer of split protein (contains WD40 repeats); meNOG05351: Transducin-Like enhancer protein	"PF00400: WD domain, G-beta repeat"	WBPhenotype: Emb; Let; Lvl; Mel; Pvl; Rup; Ste; Unc; loss of asymmetry ASE; neuronal cell fate specification variant; oocyte morphology variant; oogenesis variant; reduced brood size	NOT WBPheno: AB lineage variant; loss of asymmetry AWC
WBGene00017772|F25B4.9|clec-1	358.73	111.9	3981.95	193.62	1.85		173 aa	SignalP; Seg				KOG4297 (C-type lectin)	KOG4297: C-type lectin	PF00059: Lectin C-type domain	WBPhenotype: Dpy; Let; Lva; Pvl; Rup; Sck; Unc; growth rate variant; reduced brood size; small	NOT WBPheno: Variant; postembryonic development variant
WBGene00003452|ZK354.11|msp-59	0	119.63	2.05	64.57	1.85		127 aa					LSE0579 (Major sperm protein domain)		PF00635: MSP (Major sperm protein) domain		
WBGene00022123|Y71F9AR.2	0.5	0	0	0.27	1.85		244 aa	Seg			StrictHumOrth		"COG1100: GTPase SAR1 and related small G proteins; KOG0395: Ras-related GTPase; meNOG08291: Ras-Like, family 12 protein"	PF00071: Ras family; PF08477: Miro-like protein		
WBGene00016511|C37H5.13	2.18	5.72	0	3.09	1.85		99-414 aa					KOG3016 (Acyl-CoA thioesterase)	COG1946: Acyl-CoA thioesterase; KOG3016: Acyl-CoA thioesterase; meNOG07753: Acyl-Coenzyme A thioesterase 8 (EC 3.1.2.27)	PF02551: Acyl-CoA thioesterase		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00011304|R166.5|mnk-1	5.8	13.24	76.96	7.16	1.85		705-707 aa	Seg			StrictHumOrth		COG0515: Serine/threonine protein kinase; KOG0607: MAP kinase-interacting kinase and related serine/threonine protein kinases; meNOG05135: Map kinase-interacting serine/threonine	PF00069: Protein kinase domain; PF06293: Lipopolysaccharide kinase (Kdo/WaaP) family; PF07714: Protein tyrosine kinase		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00021545|Y43H11AL.1	1.58	15.76	16.79	8.53	1.85		367 aa	Seg; Ncoils				"KOG1973 (Chromatin remodeling protein, contains PHD Zn-finger)"	"KOG1973: Chromatin remodeling protein, contains PHD Zn-finger"	PF00145: C-5 cytosine-specific DNA methylase		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00020251|T05C1.4	1.09	0.56	0	0.59	1.85		240-1185 aa	Seg; Ncoils	Thomas+W_TF		StrictHumOrth	"KOG0520 (Uncharacterized conserved protein, contains IPT/TIG domain)"	"KOG0520: Uncharacterized conserved protein, contains IPT/TIG domain; meNOG08321: Calmodulin binding transcription activator protein"	PF00612: IQ calmodulin-binding motif; PF03859: CG-1 domain		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00008714|F11F1.1	0.24	0	0	0.13	1.85		607 aa	Seg				"KOG0101 (Molecular chaperones HSP70/HSC70, HSP70 superfamily)"	"COG0443: Molecular chaperone; KOG0101: Molecular chaperones HSP70/HSC70, HSP70 superfamily; meNOG13955: Heat shock-related 70 kDa protein 2 Heat shock"	PF00012: Hsp70 protein; PF06723: MreB/Mbl protein		NOT WBPheno: Let; Variant; postembryonic development variant
WBGene00013080|Y51A2D.13	0.24	0	0.47	0.13	1.85		487-490 aa	SignalP; Tmhmm				KOG3603 (Predicted phospholipase D)	KOG3603: Predicted phospholipase D; meNOG04463: Phospholipase	PF08371: Phospholipase D/viral envelope		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00003673|F48G7.3|nhr-83	0.24	0	0	0.13	1.85		604 aa	Seg	Walhout_TF				KOG3575: FOG: Hormone receptors	"PF00105: Zinc finger, C4 type (two domains); PF07914: Protein of unknown function (DUF1679)"		NOT WBPheno: Let
WBGene00010251|F58E6.1|sta-2	0.24	0	0	0.13	1.85		567 aa						KOG1609: Protein involved in mRNA turnover and stability; meNOG11058: E3 ubiquitin-protein ligase			NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00000789|M04G12.2|cpz-2	6.05	75.71	112.26	41.01	1.85		467 aa	SignalP; Seg				KOG1543 (Cysteine proteinase Cathepsin L)	KOG1543: Cysteine proteinase Cathepsin L; meNOG04648: Cathepsin z protein	PF00112: Papain family cysteine protease		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00012992|Y48C3A.10	27.36	44.23	12.94	23.98	1.84		191 aa					KOG4707 (Mitochondrial/chloroplast ribosomal protein L20)	KOG4707: Mitochondrial/chloroplast ribosomal protein L20	PF00453: Ribosomal protein L20	WBPhenotype: Emb; reduced brood size	NOT WBPheno: Bmd; Ste; Variant
WBGene00011441|T04F8.2	16.81	5.72	18.5	9.12	1.84		502 aa	SignalP; Tmhmm; Seg				KOG4290 (Predicted membrane protein)	KOG4290: Predicted membrane protein; meNOG29524: Annotation not available	PF10192: Rhodopsin-like GPCR transmembrane domain		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00007091|B0001.6	3.26	22.73	1.86	12.34	1.84		674 aa	Seg; Ncoils								NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00010397|H13N06.4	0.12	18.27	14.77	9.92	1.84		178-541 aa	Seg		OMIM_2010	StrictHumOrth	"KOG0535 (Sulfite oxidase, molybdopterin-binding component); KOG4576 (Sulfite oxidase, heme-binding component)"	"COG2041: Sulfite oxidase and related enzymes; KOG0535: Sulfite oxidase, molybdopterin-binding component; KOG4576: Sulfite oxidase, heme-binding component; meNOG04898: Sulfite oxidase"	PF00173: Cytochrome b5-like Heme/Steroid binding domain; PF00174: Oxidoreductase molybdopterin binding domain; PF03404: Mo-co oxidoreductase dimerisation domain	WBPhenotype: Gro; Slu; Stp; Unc	NOT WBPheno: Adl; Bmd; Emb; Let; Lva; Lvl; Ste; Variant; postembryonic development variant
WBGene00045269|F46G11.6	16.57	4.53	23.11	9.01	1.84		160 aa	SignalP; Tmhmm								
WBGene00004930|C15F1.7|sod-1	147.29	148.73	535.1	80.98	1.84		158-180 aa			OMIM_2010	StrictHumOrth	KOG0441 (Cu2+/Zn2+ superoxide dismutase SOD1)	COG2032: Cu/Zn superoxide dismutase; KOG0441: Cu2+/Zn2+ superoxide dismutase SOD1; meNOG18819: Superoxide dismutase	PF00080: Copper/zinc superoxide dismutase (SODC)	WBPhenotype: Age	NOT WBPheno: Let; Variant; aging variant; dauer arrest variant; postembryonic development variant
WBGene00011771|T14G8.3	11.49	23.56	1.71	12.84	1.83		905-921 aa	SignalP; Seg; Ncoils				"KOG0104 (Molecular chaperones GRP170/SIL1, HSP70 superfamily)"	"COG0443: Molecular chaperone; KOG0104: Molecular chaperones GRP170/SIL1, HSP70 superfamily; meNOG07003: Hypoxia-Upregulated protein"	PF00012: Hsp70 protein; PF06723: MreB/Mbl protein		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00004679|F26F4.10|rars-1	118.55	11.57	38.24	64.66	1.83		108-713 aa	Seg			StrictHumOrth	KOG4426 (Arginyl-tRNA synthetase)	COG0018: Arginyl-tRNA synthetase; KOG4426: Arginyl-tRNA synthetase; meNOG04606: Arginyl-Trna synthetase	PF00750: tRNA synthetases class I (R); PF03485: Arginyl tRNA synthetase N terminal domain; PF05746: DALR anticodon binding domain	WBPhenotype: Emb; Gro; Lva; Sle; Ste; transgene expression increased	
WBGene00012117|T28B11.1	1.21	0.56	0	0.66	1.83		573 aa	Seg; Ncoils						PF00646: F-box domain		NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00015157|B0361.3	1.09	19.94	3.11	10.88	1.83		627 aa	Ncoils				KOG0255 (Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily))	KOG0255: Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)		WBPhenotype: Gro	NOT WBPheno: Bmd; Egl D; Emb; Let; Lva; Lvl; Ste; Stp; Variant; anoxia hypersensitive; postembryonic development variant
WBGene00002023|C09B8.6|hsp-25	113.1	206.08	47.73	112.46	1.83		108-219 aa	Seg; Ncoils				KOG3591 (Alpha crystallins)	KOG3591: Alpha crystallins; meNOG20077: Heat shock protein			NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00022678|ZK180.4|sar-1	121.75	34.5	219.73	66.47	1.83		193 aa	Ncoils		OMIM_2010	StrictHumOrth	"KOG0077 (Vesicle coat complex COPII, GTPase subunit SAR1)"	"COG1100: GTPase SAR1 and related small G proteins; KOG0077: Vesicle coat complex COPII, GTPase subunit SAR1; meNOG05760: GTP binding protein"	PF00071: Ras family; PF00503: G-protein alpha subunit; PF04670: Gtr1/RagA G protein conserved region; PF08477: Miro-like protein; PF09439: Signal recognition particle receptor beta subunit	WBPhenotype: Emb; Lva; Mlt; Ste; cell secretion variant; pattern of transgene expression variant; receptor mediated endocytosis defective; transgene subcellular localization variant	NOT WBPheno: Bmd; Gro; Lvl; Stp; Variant; endoplasmic reticulum morphology variant; postembryonic development variant
WBGene00004461|F10G7.8|rpn-5	553.18	267.58	137.29	302.04	1.83		490 aa	Seg			StrictHumOrth	"KOG1498 (26S proteasome regulatory complex, subunit RPN5/PSMD12)"	"COG5071: 26S proteasome regulatory complex component; KOG1498: 26S proteasome regulatory complex, subunit RPN5/PSMD12; meNOG04480: Proteasome protein"	PF01399: PCI domain	WBPhenotype: Emb; Sck; Ste	NOT WBPheno: Gro; Let; Lva; Lvl; Stp; Variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00020491|T13G4.4	18.05	3.75	0	9.86	1.83		304 aa						COG2040: Homocysteine/selenocysteine methylase (S-methylmethionine-dependent); KOG1579: Homocysteine S-methyltransferase; meNOG08979: Selenocysteine methyltransferase	PF02574: Homocysteine S-methyltransferase		NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00009940|F52F12.7	2.58	0.23	0.77	1.41	1.83		259 aa	SignalP					"KOG3845: MLN, STAR and related lipid-binding proteins; meNOG08342: Steroidogenic acute regulatory protein"	PF01852: START domain		NOT WBPheno: Let; Variant; postembryonic development variant
WBGene00011325|T01C3.11	2.03	0.59	0	1.11	1.83		118 aa	SignalP; Tmhmm								
WBGene00021215|Y18H1A.11	3.51	1.19	0	1.92	1.83		272 aa						COG0615: Cytidylyltransferase; KOG2804: Phosphorylcholine transferase/cholinephosphate cytidylyltransferase; meNOG08429: Phosphate cytidylyltransferase	PF01467: Cytidylyltransferase		
WBGene00021491|Y40B10A.6	0.53	0	0	0.29	1.83		227 aa					KOG1663 (O-methyltransferase)	COG4122: Predicted O-methyltransferase; KOG1663: O-methyltransferase; meNOG14334: Catechol-O-Methyltransferasedomain-Containing protein 1			
